Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.14332396030426026,0.0001628117682692164,0.012759771481857205,999.0,0.0,0.0,36542.0,0.0,0.0,0.0,0.0,0.0,0.0,24,24
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.18919167518615723,0.00026673754769262814,0.016332101753682167,999.0,0.0,0.0,48408.54,51795.50839999999,227.5862658422076,0.0,0.0,0.0,0.0,24,24
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.2848867416381836,0.000595344238998905,0.02439967702652855,999.0,0.0,0.0,73282.44,266537.68639999995,516.27287978355,0.0,0.0,0.0,0.0,24,24
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.6170586061477661,0.0021158404515844954,0.04599826574540061,999.0,0.0,0.0,157064.07,3240496.9251,1800.1380294577414,0.0,0.0,0.0,0.0,24,24
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,1.4973609304428102,0.005182359702225563,0.07198860814202178,999.0,0.0,0.0,424948.67,50036797.901099995,7073.669337840156,0.0,0.0,0.0,0.0,24,24
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,5.481275944709778,0.07981498732159341,0.2825154638627652,999.0,0.0,0.0,1540746.46,938969839.4683998,30642.614762262045,0.0,0.0,0.0,0.0,24,24
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,5.936992433071136,0.11991102698563953,0.34628171621620385,999.0,0.0,0.0,1542795.77,521396907.4170999,22834.11718059404,0.0,0.0,0.0,0.0,24,24
Model-free Dijkstra,True,False,0.002876102924346924,7.590899342346802e-07,0.0008712576738455049,279.0,0.0,0.0,3687.0,0.0,0.0,882.0,0.0,0.0,1.0,24,24
Model-free Value Iteration,True,False,0.02439324378967285,4.66687999150963e-06,0.0021602962740118843,29.0,0.0,0.0,34009.0,0.0,0.0,31204.0,0.0,0.0,1.0,24,24
Model-free Synchronous Value Iteration,True,False,0.023351666927337648,3.2843238045069256e-05,0.005730902027174191,30.0,0.0,0.0,35085.0,0.0,0.0,32280.0,0.0,0.0,1.0,24,24
