Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Shortest Path,Longest Path
"Normal Q-learning (reward, alpha = 0.3, gamma = 0.6 and termination goal, initial values = 0)",True,False,0.35161877870559693,0.0005952256732625472,0.024397247247641425,999.0,0.0,0.0,98320.02,25773.7996,160.54220504278618,33,33
"Normal Q-learning (reward, alpha = 0.6, gamma = 0.6 and termination goal, initial values = 0)",True,False,0.23965850353240967,0.00014059891349095323,0.01185744127082033,999.0,0.0,0.0,66064.48,26282.0896,162.11751786898293,33,33
"Normal Q-learning (reward, alpha = 0.9, gamma = 0.6 and termination goal, initial values = 0)",True,False,0.20070961236953735,0.00012931104207684142,0.011371501311473407,999.0,0.0,0.0,55113.62,23705.415600000004,153.96563122983,33,33
"Normal Q-learning (reward, alpha = 0.999, gamma = 0.6 and termination goal, initial values = 0)",True,False,0.185227689743042,0.00014437744404644946,0.012015716543196641,999.0,0.0,0.0,53440.52,21967.889600000006,148.21568607944303,33,33
"Normal Q-learning (reward, alpha = 0.999, gamma = 0.9 and termination goal, initial values = 0)",True,False,0.19202937602996825,0.0001174363619033784,0.01083680589026944,999.0,0.0,0.0,53565.26,27426.692399999996,165.61006128855817,33,33
"Normal Q-learning (reward, alpha = 0.999, gamma = 0.9 and termination goal, initial values = -1e4)",False,True,1.6133163905143737,0.005559705887941271,0.07456343532819065,999.0,0.0,0.0,500000.0,0.0,0.0,5,5
"Normal Q-learning (reward, alpha = 0.999, gamma = 0.999 and termination goal, initial values = -1e4)",True,False,0.1933987021446228,0.00013960422169972733,0.011815423043620881,999.0,0.0,0.0,53479.42,27289.303600000007,165.19474446846064,33,33
"Normal Q-learning (reward, alpha = 0.2, gamma = 0.999 and termination goal, initial values = 0)",True,False,0.38890852928161623,0.0006029347588116706,0.024554729866395814,999.0,0.0,0.0,112260.72,19921.481599999996,141.1434787724888,33,33
"Normal Q-learning (reward, alpha = 0.999, gamma = 0.5 and termination goal, initial values = 0)",True,False,0.1874398422241211,0.0001979364305542276,0.014068988256240304,999.0,0.0,0.0,53450.76,20672.862399999995,143.78060508983816,33,33
"Normal Q-learning (reward, alpha = 0.999, gamma = 0.999 and termination goal, initial values = 0)",True,False,0.19289904117584228,0.00013481058091836077,0.011610795877904355,999.0,0.0,0.0,53460.44,25127.886399999992,158.5177794444522,33,33
"Normal Q-learning (reward, alpha = 0.999, gamma = 0.999 and termination goal, initial values = +1e4)",True,False,0.18720920085906984,0.0001431948034684183,0.01196640311323408,999.0,0.0,0.0,53453.16,24248.094399999994,155.7179963909117,33,33
"Normal Q-learning (reward, alpha = 0.999, gamma = 0.999 and termination goal, initial values = +1e7)",True,False,0.17760944843292237,0.00010174869339605265,0.010087055734754947,999.0,0.0,0.0,53466.28,20170.6416,142.02338399010213,33,33
No-discounting Q-learning,True,False,0.18871865034103394,0.00016989904106014256,0.013034532636812974,999.0,0.0,0.0,53502.4,19744.4,140.51476790714918,33,33
"No-discounting, no stochastic approximation Q-learning",True,False,0.19520895719528197,0.00010509214072760075,0.010251445787185374,999.0,0.0,0.0,52986.62,33862.1356,184.01667207076648,33,33
"cost-based  Q-learning (reward, alpha = 0.999, gamma = 0.9 and termination goal, initial values = +1e4)",False,True,1.6054389238357545,0.00754344904424272,0.08685303128989062,999.0,0.0,0.0,500000.0,0.0,0.0,5,5
"cost-based  Q-learning (reward, alpha = 0.999, gamma = 0.999 and termination goal, initial values = +1e4)",True,False,0.19013904809951782,0.000173586290529164,0.013175215008840046,999.0,0.0,0.0,53462.38,22818.295599999998,151.0572593422772,33,33
