Algorithm,Avg Time,Inconsistent?,Best Path,Worst Path
"Normal Q-learning (reward, discounting, stochastic approximation and termination goal)",0.0,False,0,0
No-discounting Q-learning,0.0,False,0,0
"No-discounting, no stochastic approximation Q-learning",0.0,False,0,0
"cost-based Q-learning (No discounting, no stochastic approximation)",0.0,False,0,0
"cost-based Q-learning (No discounting, no stochastic approximation) w/ term action & term goal",0.0,False,0,0
"cost-based Q-learning (No discounting, no stochastic approximation, no term goal) w/ term action",0.0,False,0,0
"cost-based Q-learning (No discounting, no stochastic approximation, no termination at all)",0.0,False,0,0
Fully-random exploration Q-learning,0.0,False,0,0
Fully-greedy exploration Q-learning,0.0,False,0,0
One-episode random-exploration Q-learning,0.0,False,0,0
Fully-greedy Q-learning with convergence,0.0,False,0,0
Don't care Q-learning,0.0,False,0,0
Stochastic Q-learning (converging),0.0,False,0,0
Value Iteration,0.0,False,0,0
Random Action Value Iteration,0.0,False,0,0
Stochastic Value Iteration,0.0,False,0,0
