Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path,Avg Time Goal Discovered,Var Time Goal Discovered,STD Time Goal Discovered,Avg Actions Goal Discovered,Var Actions Goal Discovered,STD Actions Goal Discovered,Avg Time Optimal Initial Cost2Go,Var Time Optimal Initial Cost2Go,STD Time Optimal Initial Cost2Go,Avg Actions Optimal Initial Cost2Go,Var Actions Optimal Initial Cost2Go,STD Actions Optimal Initial Cost2Go
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.10615204811096192,4.98592051882497e-05,0.007061105096813791,999.0,0.0,0.0,37478.0,0.0,0.0,0.0,0.0,0.0,0.0,29,29,0.0025696444511413576,4.629156702037562e-07,0.0006803790636136272,880.0,0.0,0.0,0.04004743337631225,1.3143532787461252e-05,0.003625401051947391,14000.0,0.0,0.0
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.14137742757797242,6.224559294548157e-05,0.007889587628354322,999.0,0.0,0.0,49675.9,107578.35,327.9913870820391,0.0,0.0,0.0,0.0,29,29,0.004801106452941894,3.2029681068479484e-06,0.0017896838008005628,1671.22,347424.23159999994,589.4270367059861,0.04626692295074463,1.1542410797369487e-05,0.003397412367871979,16190.0,213900.0,462.4932431938871
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.21037054777145386,9.065097670197133e-05,0.009521080647803134,999.0,0.0,0.0,76048.38,356616.21559999994,597.1735221859723,0.0,0.0,0.0,0.0,29,29,0.005977673530578613,5.4837799011465915e-06,0.0023417471898449227,2150.3,571899.6299999999,756.2404577910388,0.05852726936340332,2.405226475584641e-05,0.004904310833934408,20830.0,761100.0,872.4104538575865
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.45467636585235593,0.00026742903833053337,0.01635325772837123,999.0,0.0,0.0,169986.46,4228644.4684,2056.3668127063324,0.0,0.0,0.0,0.0,29,29,0.0072119832038879395,7.745253686124443e-06,0.002783029587719908,2708.38,1142962.1356,1069.0940723809108,0.08073674917221069,5.7264339599731785e-05,0.007567320503304441,30240.0,3642400.0,1908.507270093567
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,1.3618757104873658,0.016049692876311635,0.1266873824668883,958.24,6322.782400000001,79.5159254489313,500316.98,1631956540.6795995,40397.481860625914,452566.6666666667,2059312222.2222223,45379.64546161883,0.3,29,29,0.00891024351119995,2.580688750624062e-05,0.005080047982671091,3273.54,3393518.0684,1842.1503924489987,0.11849735975265503,0.000175781876917398,0.013258275789762332,43520.0,13129600.0,3623.478991245844
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.69027024269104,0.1587643072114294,0.39845239014395356,327.23,5947.517100000001,77.12014717309609,653750.3,23429391303.150005,153066.62373995842,653350.0,23443367500.0,153112.2708994939,1.0,29,29,0.008499653339385986,5.442055509735724e-05,0.007377028880067994,3174.02,6056381.639599999,2460.9716860622348,0.27871237754821776,0.005552276801177324,0.07451360145085811,107450.0,766727500.0,27689.844708845878
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,1.7834166884422302,0.32271653140445705,0.5680814478615342,335.6,10880.88,104.31145670538783,662812.28,44922941074.6416,211950.3269038328,662260.0,44927652400.0,211961.4408329968,1.0,29,29,0.008280754089355469,9.047694080777547e-05,0.009511936753772886,3198.58,13256615.783599999,3640.9635789993836,0.2703084421157837,0.0038715895123682237,0.062222098263946576,101600.0,505960000.0,22493.554632383028
Model-free Dijkstra,True,False,0.0022760319709777834,9.453828609537141e-07,0.0009723080072454994,165.0,0.0,0.0,3856.0,0.0,0.0,579.0,0.0,0.0,1.0,29,29,,,,,,,,,,,,
Model-free Value Iteration,True,False,0.012789263725280761,9.853164474202455e-06,0.003138975067470663,20.0,0.0,0.0,26437.0,0.0,0.0,23160.0,0.0,0.0,1.0,29,29,,,,,,,,,,,,
Model-free Synchronous Value Iteration,True,False,0.01918583631515503,4.359520161023056e-06,0.0020879463980243975,34.0,0.0,0.0,42649.0,0.0,0.0,39372.0,0.0,0.0,1.0,29,29,,,,,,,,,,,,
