Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.014789612293243408,6.742370460023039e-06,0.002596607490558217,999.0,0.0,0.0,4020.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.018472254276275635,3.8494408470057806e-06,0.001961999196484489,999.0,0.0,0.0,5307.14,3202.5004,56.59063880183718,0.0,0.0,0.0,0.0,5,5
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.026458818912506104,5.491976833189938e-06,0.0023434967107273563,999.0,0.0,0.0,7519.84,18394.294400000002,135.62556691125755,0.0,0.0,0.0,0.0,5,5
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.04228484153747559,2.615556933446896e-05,0.005114251590845816,999.0,0.0,0.0,12114.38,57298.855599999995,239.37179365998827,0.0,0.0,0.0,0.0,5,5
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,0.06288327932357789,0.00014405970055588,0.012002487265391286,999.0,0.0,0.0,17638.18,150756.2476,388.2734186111638,0.0,0.0,0.0,0.0,5,5
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.0763118600845337,1.8188642304744466e-05,0.004264814451385249,999.0,0.0,0.0,23983.84,352786.69440000004,593.9584955196785,0.0,0.0,0.0,0.0,5,5
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.08892491817474366,3.4533322859738296e-05,0.005876506007802451,999.0,0.0,0.0,23884.16,424992.1344,651.9142078525364,0.0,0.0,0.0,0.0,5,5
Model-free Dijkstra,True,False,4.068613052368164e-05,3.97651528771803e-08,0.0001994120178855334,6.0,0.0,0.0,32.0,0.0,0.0,9.0,0.0,0.0,1.0,5,5
Model-free Value Iteration,True,False,8.321762084960938e-05,7.459563894371968e-08,0.00027312202207753163,5.0,0.0,0.0,83.0,0.0,0.0,60.0,0.0,0.0,1.0,5,5
Model-free Synchronous Value Iteration,True,False,9.000301361083984e-05,8.190569985799812e-08,0.0002861917187096757,6.0,0.0,0.0,95.0,0.0,0.0,72.0,0.0,0.0,1.0,5,5
