Algorithm,Goal reached,Loops encountered,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Convergence rate,Shortest Path,Longest Path
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0",True,False,0.14600688219070435,0.00031291943975404025,0.017689529099273398,999.0,0.0,0.0,35316.0,0.0,0.0,0.0,0.0,0.0,0.0,22,22
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.25",True,False,0.1912569522857666,0.00035821470311248044,0.018926560784053727,999.0,0.0,0.0,48891.22,82707.33160000002,287.588823844043,0.0,0.0,0.0,0.0,22,22
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.5",True,False,0.28227728128433227,0.00042889796227524936,0.020709851816834646,999.0,0.0,0.0,75027.4,304171.54000000004,551.5174883899875,0.0,0.0,0.0,0.0,22,22
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.75",True,False,0.6442309617996216,0.004170014885959858,0.06457565242380334,999.0,0.0,0.0,166002.57,3791837.945099999,1947.2642206696037,0.0,0.0,0.0,0.0,22,22
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 0.9",True,False,1.0150904083251953,0.060139892444187944,0.2452343622826702,580.87,23476.713099999997,153.22112484902334,280455.62,4372837862.1156,66127.43653065345,278383.83838383836,4088297112.5395374,63939.79287219765,0.99,22,22
"cost-based Q-learning true convergence (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.5473802781105042,0.008558879126792696,0.09251421040463295,89.64,128.1104,11.318586484186088,147706.04,360260034.57839996,18980.517236851054,146600.0,358440000.0,18932.511719262187,1.0,22,22
"Fully-random (deterministic with pi) exploration Q-learning (No discounting, no stochastic approximation) w/ term action & term goal, epsilon = 1",True,False,0.5443376994132996,0.008020162786164398,0.08955536157128952,91.59,169.88189999999997,13.033875095304541,145760.48,437588065.36960006,20918.60572240894,144700.0,437410000.0,20914.349141199684,1.0,22,22
Model-free Dijkstra,True,False,0.0034833669662475584,3.113229428379327e-05,0.005579632092153861,273.0,0.0,0.0,4530.0,0.0,0.0,981.0,0.0,0.0,1.0,22,22
Model-free Value Iteration,True,False,0.021353285312652587,2.9214656959828743e-05,0.005405058460352556,21.0,0.0,0.0,30177.0,0.0,0.0,26628.0,0.0,0.0,1.0,22,22
Model-free Synchronous Value Iteration,True,False,0.026757359504699707,1.051407592342457e-05,0.0032425415839160135,30.0,0.0,0.0,41589.0,0.0,0.0,38040.0,0.0,0.0,1.0,22,22
